Rank,Country,Median Age,Percent Urban,Fertility Rate,Net Migrants,1970 Population,1980 Population,1990 Population,2000 Population,2010 Population,2020 Population,Net Change,Average Decade Change,Global Population (%)
37,Afghanistan,18,25,4.6,-62920,10752971,12486631,10694796,19542982,28189672,38972230,28219259,5643852,0.503700205079607
129,Albania,36,63,1.6,-14000,2324731,2941651,3295066,3182021,2913399,2866849,542118,108424,0.03705285607809115
35,Algeria,29,73,3.1,-10000,13795915,18739378,25518074,30774621,35856344,43451666,29655751,5931150,0.5615950915626482
43,Angola,17,67,5.6,6413,6029700,8330047,11828638,16394062,23364185,33428485,27398785,5479757,0.432049558108442
183,Antigua and Barbuda,34,26,2.0,0,64516,64888,63328,75055,85695,92664,28148,5630,0.0011976444715505554
31,Argentina,32,93,2.3,4800,23842803,28024803,32637657,37070774,41100123,45036032,21193229,4238646,0.5820723770328704
132,Armenia,35,63,1.8,-4998,2534377,3135123,3556539,3168523,2946293,2805608,271231,54246,0.036261341087563785
180,Aruba,41,44,1.9,201,59106,62267,65712,89101,100341,106585,47479,9496,0.001377567728570059
53,Australia,38,86,1.8,158246,12595034,14706322,17048003,19017963,22019168,25670051,13075017,2615003,0.3317749575301175
95,Austria,43,57,1.5,65000,7465301,7547561,7678729,8010428,8362829,8907777,1442476,288495,0.11512939089457817
88,Azerbaijan,32,56,2.1,1200,5425317,6383060,7427836,8190337,9237202,10284951,4859634,971927,0.13292880412369806
164,Bahamas,32,86,1.8,1000,179129,223752,270679,325014,373272,406471,227342,45468,0.005253472179008308
145,Bahrain,32,89,2.0,47800,222555,362595,517418,711442,1213645,1477469,1254914,250983,0.01909568526868393
8,Bangladesh,28,39,2.1,-369501,67541860,83929765,107147651,129193327,148391139,167420951,99879091,19975818,2.163847625689442
173,Barbados,40,31,1.6,-79,241397,253575,258868,264657,274711,280693,39296,7859,0.0036278427399307174
92,Belarus,40,79,1.7,8730,9170786,9817257,10428525,10256483,9731427,9633740,462954,92591,0.12451216709137797
79,Belgium,42,98,1.7,48000,9629376,9828986,9959560,10264343,10877947,11561717,1932341,386468,0.1494304848342622
165,Belize,25,46,2.3,1200,120905,145133,182589,240406,322106,394921,274016,54803,0.00510419313162843
75,Benin,19,48,4.9,-2000,3023443,3833939,5133419,6998023,9445710,12643123,9619680,1923936,0.16340721708628672
155,Bhutan,28,46,2.0,320,298894,415257,558442,587207,705516,772506,473612,94722,0.00998432552166573
78,Bolivia,26,69,2.8,-9504,4585693,5736088,7096194,8592656,10223270,11936162,7350469,1470094,0.15427003400276074
126,Bosnia and Herzegovina,43,52,1.3,-21585,3815561,4199820,4494310,4179350,3811088,3318407,-497154,-99431,0.04288905937478054
135,Botswana,24,73,2.9,3000,592244,938578,1341474,1726985,2091664,2546402,1954158,390832,0.032911209074131025
6,Brazil,33,88,1.7,21200,96369875,122288383,150706446,175873720,196353492,213196304,116826429,23365286,2.7554754256303586
163,Brunei,32,80,1.8,0,133343,187921,261928,333926,396053,441725,308382,61676,0.005709115775227371
102,Bulgaria,45,76,1.6,-4800,8582950,8980606,8767778,8097691,7592273,6979175,-1603775,-320755,0.09020299528116472
57,Burkina Faso,18,31,5.2,-25000,5611666,6932967,9131361,11882888,16116845,21522626,15910960,3182192,0.27817117804271607
76,Burundi,17,14,5.5,2001,3497834,4312834,5483793,6307659,9126605,12220227,8722393,1744479,0.15794145846977067
71,Cambodia,26,24,2.5,-30000,6708525,6198959,8910808,12118841,14363532,16396860,9688335,1937667,0.2119227394650397
51,Cameroon,19,56,4.6,-4800,6452787,8519891,11430520,15091594,19878036,26491087,20038300,4007660,0.3423865135426356
39,Canada,41,81,1.5,242032,21434577,24511510,27657204,30683313,33963412,37888705,16454128,3290826,0.4896960856153402
114,Central African Republic,18,43,4.8,-40000,2067356,2415276,2809221,3759170,4660067,5343020,3275664,655133,0.0690563580720026
68,Chad,17,23,5.8,2000,3667394,4408230,5827069,8259137,11894727,16644701,12977307,2595461,0.21512598348076925
62,Chile,35,85,1.7,111708,9820481,11469828,13342868,15351799,17004162,19300315,9479834,1895967,0.24944871318887873
1,China,38,61,1.7,-348399,822534450,982372466,1153704252,1264099069,1348191368,1424929781,602395331,120479066,18.416637254623087
29,Colombia,31,80,1.8,204796,20905254,26176195,32601393,39215135,44816108,50930662,30025408,6005082,0.6582580697650646
153,Comoros,20,29,4.2,-2000,242351,328328,431119,536758,656024,806166,563815,112763,0.010419367316887088
115,Costa Rica,33,80,1.8,4200,1855697,2414303,3158253,3979193,4622252,5123105,3267408,653482,0.0662140462361112
122,Croatia,44,58,1.4,-8001,4492638,4680144,4873707,4548434,4368682,4096868,-395770,-79154,0.052950350846848626
81,Cuba,42,78,1.6,-14400,8869636,9809107,10626680,11105791,11290417,11300698,2431062,486212,0.1460569205339983
149,Cyprus,37,67,1.3,5000,640804,679327,788500,948237,1129686,1237537,596733,119347,0.015994661857779285
109,Denmark,42,88,1.8,15200,4922963,5125392,5144623,5340655,5550849,5825641,902678,180536,0.07529403799629035
151,Djibouti,27,79,2.8,900,144379,324121,577173,742033,919199,1090156,945777,189155,0.014089822439433516
82,Dominican Republic,28,85,2.4,-30000,4475871,5755800,7129004,8540791,9775755,10999664,6523793,1304759,0.14216617865097197
16,DR Congo,17,46,6.0,23861,20151733,26708686,35987541,48616317,66391257,92853164,72701431,14540286,1.2000893392318166
65,Ecuador,28,63,2.4,36400,6172215,8135845,10449837,12626507,14989585,17588595,11416380,2283276,0.22732542912125248
14,Egypt,25,43,3.3,-38033,34781986,43748556,57214630,71371371,87252413,107465134,72683148,14536630,1.388943102170634
107,El Salvador,28,73,2.1,-40539,3619090,4508992,5367179,5958482,6114034,6292731,2673641,534728,0.08133098606907535
143,Equatorial Guinea,22,73,4.6,16000,316955,282509,465549,684977,1094524,1596049,1279094,255819,0.020628283488450666
124,Eritrea,19,63,4.1,-39858,1272748,1657982,2149960,2392880,3147727,3555868,2283120,456624,0.04595814611676088
146,Estonia,42,68,1.6,3911,1361999,1476983,1570674,1396877,1331535,1329444,-32555,-6511,0.017182522412544858
150,Eswatini,21,30,3.0,-8353,442865,598564,854011,1030496,1099920,1180655,737790,147558,0.015259485167470874
12,Ethiopia,19,21,4.3,30000,28308246,34945469,47878073,67031867,89237791,117190911,88882665,17776533,1.5146448100138477
152,Fiji,28,59,2.8,-6202,527634,644582,780430,832509,905169,920422,392788,78558,0.011896079597184509
111,Finland,43,86,1.5,14000,4606621,4779418,4986545,5176209,5363271,5529468,922847,184569,0.07146612255909206
22,France,42,82,1.9,36527,50523586,53713830,56412897,58665453,62444567,64480053,13956467,2791293,0.8333784317613832
171,French Guiana,25,87,3.4,1200,46484,66825,113931,164351,228453,290969,244485,48897,0.0037606558560238446
170,French Polynesia,34,64,2.0,-1000,117891,163591,211089,250927,283788,301920,184029,36806,0.003902193072288523
137,Gabon,23,87,4.0,3260,597192,749078,983028,1272935,1711105,2292573,1695381,339076,0.0296305725964352
134,Gambia,18,59,5.3,-3087,528731,718586,1040616,1437539,1937275,2573995,2045264,409053,0.03326783736455119
123,Georgia,38,58,2.1,-10000,4800426,5145843,5391636,4265172,3836831,3765912,-1034514,-206903,0.048672879296662086
19,Germany,46,76,1.6,543822,78294583,77786703,79370196,81551677,81325090,83328988,5034405,1006881,1.076993242231099
47,Ghana,22,57,3.9,-10000,8861895,11865246,15446982,19665502,25574719,32180401,23318506,4663701,0.41591858056990816
85,Greece,46,85,1.3,-16000,8544873,9307148,10302255,11038109,11033783,10512232,1967359,393472,0.13586631851049855
178,Grenada,32,35,2.1,-200,98794,94838,99047,107432,114039,123663,24869,4974,0.0015982939252067291
176,Guam,31,95,2.3,-506,88300,110286,138263,160188,164905,169231,80931,16186,0.002187241772047095
67,Guatemala,23,52,2.9,-9215,5453208,6987767,9084780,11735894,14543121,17362718,11909510,2381902,0.2244060608628088
73,Guinea,18,39,4.7,-4000,4222374,4972609,6354145,8336967,10270728,13205153,8982779,1796556,0.17067122600394147
141,Guinea-Bissau,19,45,4.5,-1399,591663,831462,973551,1230849,1567220,2015828,1424165,284833,0.026053756149063422
154,Guyana,27,27,2.5,-6000,705261,778176,747116,759051,747932,797202,91941,18388,0.010303511266608887
80,Haiti,24,57,3.0,-35000,4680812,5646676,6925331,8360225,9842880,11306801,6625989,1325198,0.14613579932414195
89,Honduras,24,57,2.5,-6800,2782753,3777990,5053234,6656725,8450933,10121763,7339010,1467802,0.13081966566622383
90,Hungary,43,72,1.5,6000,10315366,10698679,10375989,10202055,9986825,9750573,-564793,-112959,0.12602218604744142
167,Iceland,37,94,1.8,380,204468,228263,255019,281462,318333,366669,162201,32440,0.004739047534522259
2,India,28,35,2.2,-532687,557501301,696828385,870452165,1059633675,1240613620,1396387127,838885826,167777165,18.047735072907635
4,Indonesia,30,56,2.3,-98955,115228394,148177096,182159874,214072421,244016173,271857970,156629576,31325915,3.5136535743919617
17,Iran,32,76,2.2,-55000,28449705,38520664,55793629,65544383,75373855,87290193,58840488,11768098,1.1281902040385803
36,Iraq,21,73,3.7,7834,9811347,13653369,17658381,24628858,31264875,42556984,32745637,6549127,0.5500316909853389
